日期,淨值,MA_7,MA_15,MA_30
2021/03/05,9.76,9.924285714285714,9.907999999999998,9.983666666666666
2021/03/04,9.91,9.912857142857144,9.923333333333336,9.974666666666668
2021/03/03,10.07,9.921428571428573,9.936666666666667,9.971
2021/03/02,10.21,9.950000000000001,9.956666666666669,9.972000000000001
2021/03/01,10.15,9.974285714285715,9.972,9.968333333333332
2021/02/26,10.04,9.997142857142858,9.984000000000002,9.962666666666667
2021/02/25,10.22,10.051428571428572,10.004,9.965333333333335
2021/02/24,10.14,10.105714285714285,10.018,9.965333333333335
2021/02/23,10.04,10.124285714285715,10.016666666666667,9.961666666666666
2021/02/22,10.28,10.154285714285715,10.036,9.967333333333332
2021/02/19,10.36,10.175714285714287,10.059333333333335,9.976
2021/02/18,10.3,10.197142857142856,10.078666666666665,9.985999999999999
2021/02/17,10.34,10.24,10.102666666666666,10.001333333333333
2021/02/16,10.43,10.27,10.139333333333333,10.023666666666667
2021/02/12,10.41,10.308571428571428,10.177333333333333,10.043666666666667
2021/02/11,10.4,10.36,10.22,10.064
2021/02/10,10.42,10.379999999999999,10.253999999999998,10.088666666666665
2021/02/09,10.36,10.379999999999999,10.273333333333333,10.104999999999999
2021/02/08,10.35,10.387142857142857,10.282666666666666,10.119666666666667
2021/02/05,10.26,10.375714285714285,10.29,10.131
2021/02/04,10.19,10.34142857142857,10.3,10.142
2021/02/03,10.19,10.31,10.298,10.151
2021/02/02,10.12,10.27,10.296666666666665,10.157333333333334
2021/02/01,9.96,10.204285714285714,10.291333333333334,10.154
2021/01/29,9.98,10.15,10.271333333333333,10.153666666666668
2021/01/28,9.99,10.098571428571429,10.246666666666666,10.153
2021/01/27,9.97,10.057142857142859,10.224666666666668,10.151666666666666
2021/01/26,10.15,10.051428571428572,10.212,10.157333333333334
2021/01/25,10.2,10.052857142857144,10.196666666666665,10.168000000000001
2021/01/22,10.15,10.057142857142859,10.179333333333334,10.178333333333333
2021/01/21,10.16,10.085714285714287,10.163333333333332,10.191666666666666
2021/01/20,10.12,10.105714285714285,10.143333333333334,10.198666666666668
2021/01/19,10.04,10.112857142857141,10.121999999999998,10.197666666666665
2021/01/15,10.05,10.124285714285715,10.102,10.192333333333332
2021/01/14,10.15,10.124285714285715,10.094666666666667,10.192333333333334
2021/01/13,10.1,10.11,10.088666666666667,10.194333333333333
2021/01/12,10.09,10.10142857142857,10.081999999999999,10.19
2021/01/11,10.06,10.087142857142856,10.078000000000001,10.187333333333333
2021/01/08,10.11,10.085714285714285,10.088,10.189666666666666
2021/01/07,10.03,10.084285714285715,10.091333333333331,10.181333333333333
2021/01/06,9.9,10.062857142857142,10.085333333333333,10.165999999999999
2021/01/05,9.9,10.027142857142858,10.080666666666668,10.152666666666669
2021/01/04,9.93,10.002857142857142,10.066,10.139000000000001
2020/12/31,9.91,9.977142857142857,10.046666666666669,10.121666666666666
2020/12/30,9.91,9.955714285714285,10.030666666666667,10.105
2020/12/29,9.9,9.925714285714283,10.013333333333334,10.088333333333333
2020/12/28,9.92,9.91,10.0,10.071666666666667
2020/12/23,9.9,9.91,9.990666666666668,10.056333333333333
2020/12/22,9.89,9.90857142857143,9.979999999999999,10.041
2020/12/21,9.84,9.895714285714286,9.959333333333332,10.027
2020/12/18,9.89,9.892857142857142,9.945333333333334,10.017
2020/12/17,9.85,9.884285714285713,9.929333333333334,10.005666666666666
2020/12/16,9.79,9.868571428571428,9.911333333333333,9.994666666666665
2020/12/15,9.77,9.847142857142856,9.888666666666667,9.988333333333335
2020/12/14,9.83,9.837142857142856,9.875333333333334,9.983333333333333
2020/12/11,9.77,9.819999999999999,9.866666666666667,9.975999999999999
2020/12/10,9.76,9.808571428571428,9.857333333333333,9.969
2020/12/09,9.84,9.801428571428572,9.851333333333333,9.958666666666666
2020/12/08,9.85,9.801428571428572,9.847333333333331,9.947
2020/12/07,9.78,9.799999999999999,9.838666666666665,9.934666666666667
2020/12/04,9.74,9.795714285714284,9.828,9.920666666666667
2020/12/03,9.71,9.778571428571428,9.814,9.907
2020/12/02,9.62,9.757142857142856,9.795333333333334,9.893
2020/12/01,9.68,9.745714285714286,9.781333333333333,9.880666666666666
2020/11/30,9.64,9.717142857142857,9.768,9.863666666666665
2020/11/27,9.64,9.687142857142858,9.751333333333331,9.848333333333333
2020/11/25,9.57,9.657142857142857,9.732666666666667,9.831
2020/11/24,9.53,9.627142857142857,9.715333333333335,9.813333333333333
2020/11/23,9.49,9.595714285714285,9.696666666666665,9.792666666666667
2020/11/20,9.45,9.571428571428571,9.671333333333335,9.773333333333333
2020/11/19,9.42,9.534285714285714,9.648,9.757333333333333
2020/11/18,9.4,9.5,9.624,9.740666666666666
2020/11/17,9.37,9.46142857142857,9.592666666666668,9.722
2020/11/16,9.37,9.432857142857143,9.560666666666668,9.704
2020/11/13,9.4,9.414285714285713,9.535333333333334,9.687
2020/11/12,9.4,9.401428571428571,9.512666666666666,9.670333333333334
2020/11/10,9.33,9.384285714285713,9.487333333333334,9.650666666666666
2020/11/09,9.5,9.395714285714286,9.479333333333333,9.637333333333334
2020/11/06,9.38,9.392857142857142,9.459333333333335,9.620333333333333
2020/11/05,9.39,9.395714285714286,9.442666666666666,9.605333333333332
2020/11/04,9.2,9.371428571428572,9.413333333333334,9.582333333333334
2020/11/03,9.05,9.321428571428571,9.378666666666666,9.555666666666665
2020/11/02,9.0,9.264285714285714,9.343333333333332,9.529333333333334
2020/10/30,8.91,9.204285714285716,9.304666666666668,9.500666666666666
2020/10/29,9.03,9.137142857142857,9.276666666666666,9.474
2020/10/28,9.03,9.087142857142856,9.250666666666666,9.449333333333334
2020/10/27,9.21,9.061428571428571,9.238,9.431000000000001
2020/10/26,9.21,9.062857142857144,9.227333333333332,9.41
2020/10/23,9.26,9.092857142857143,9.219999999999999,9.390333333333334
2020/10/22,9.27,9.131428571428572,9.211333333333334,9.373333333333333
2020/10/21,9.3,9.187142857142858,9.204666666666666,9.358666666666666
2020/10/20,9.27,9.221428571428572,9.200666666666667,9.344
2020/10/19,9.33,9.264285714285714,9.189333333333334,9.334333333333335
2020/10/16,9.33,9.281428571428572,9.186,9.322666666666667
2020/10/15,9.28,9.29142857142857,9.178666666666667,9.310666666666666
2020/10/14,9.44,9.317142857142857,9.194666666666667,9.304
2020/10/13,9.43,9.34,9.22,9.299333333333331
2020/10/09,9.33,9.344285714285714,9.242,9.292666666666667
2020/10/08,9.28,9.345714285714285,9.266666666666667,9.285666666666666
2020/10/07,9.22,9.33,9.279333333333335,9.278
2020/10/06,9.21,9.312857142857142,9.291333333333334,9.270999999999999
2020/10/05,9.16,9.295714285714284,9.288,9.263
2020/10/02,9.12,9.25,9.282,9.254666666666667
2020/10/01,9.15,9.209999999999999,9.274666666666667,9.247333333333334
2020/09/30,9.09,9.175714285714287,9.262666666666666,9.237
2020/09/29,9.05,9.142857142857142,9.246,9.225333333333333
2020/09/28,9.02,9.114285714285716,9.229333333333333,9.215
2020/09/25,8.86,9.064285714285715,9.198,9.193666666666667
2020/09/24,8.83,9.017142857142856,9.164666666666667,9.175333333333333
2020/09/23,8.98,8.997142857142858,9.144666666666668,9.161666666666667
2020/09/22,8.94,8.967142857142857,9.111333333333334,9.152999999999999
2020/09/21,8.92,8.942857142857141,9.077333333333334,9.148666666666667
2020/09/18,9.02,8.938571428571429,9.056666666666667,9.149333333333335
2020/09/17,8.99,8.934285714285714,9.037333333333333,9.152
2020/09/16,9.11,8.97,9.03,9.154666666666666
2020/09/15,9.1,9.008571428571429,9.022666666666668,9.157
2020/09/14,9.1,9.025714285714285,9.018666666666666,9.153333333333334
2020/09/11,9.04,9.04,9.013333333333332,9.147666666666668
2020/09/10,9.15,9.072857142857144,9.013333333333332,9.144
2020/09/09,9.05,9.077142857142857,9.010666666666667,9.136666666666667
2020/09/08,9.03,9.082857142857142,9.009333333333332,9.127666666666666
2020/09/04,9.15,9.088571428571429,9.018,9.123666666666669
2020/09/03,9.37,9.127142857142855,9.052,9.125
2020/09/02,9.4,9.17,9.09,9.127333333333333
2020/09/01,9.39,9.22,9.117333333333333,9.131
2020/08/31,9.31,9.242857142857144,9.142,9.126666666666667
2020/08/28,9.3,9.278571428571428,9.167333333333334,9.122333333333334
2020/08/27,9.27,9.312857142857142,9.184000000000001,9.120333333333331
2020/08/26,9.22,9.322857142857144,9.199333333333334,9.118333333333334
2020/08/25,9.13,9.28857142857143,9.200666666666669,9.115333333333332
2020/08/24,9.12,9.248571428571427,9.202,9.112333333333334
2020/08/21,9.08,9.204285714285714,9.200666666666667,9.109666666666667
2020/08/20,9.04,9.165714285714285,9.200666666666667,9.107000000000001
2020/08/19,9.05,9.129999999999999,9.193999999999999,9.103666666666667
2020/08/18,9.04,9.097142857142858,9.193333333333333,9.102
2020/08/17,9.01,9.067142857142857,9.192000000000002,9.100666666666665
2020/08/14,9.05,9.055714285714286,9.185333333333334,9.101666666666667
2020/08/13,9.06,9.047142857142857,9.164666666666667,9.108333333333333
2020/08/12,9.02,9.038571428571428,9.139333333333333,9.114666666666666
2020/08/11,9.02,9.035714285714286,9.114666666666666,9.116000000000001
2020/08/10,9.02,9.031428571428572,9.095333333333334,9.118666666666666
2020/08/07,9.07,9.035714285714286,9.08,9.123666666666667
2020/08/06,9.06,9.042857142857143,9.066,9.125
2020/08/05,9.03,9.040000000000001,9.053333333333335,9.126333333333333
2020/08/04,9.0,9.031428571428572,9.044666666666666,9.122666666666667
2020/08/03,8.97,9.024285714285714,9.034666666666668,9.118333333333334
2020/07/31,8.91,9.008571428571429,9.023333333333333,9.112
